"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"216333_x_at",-2.62624964594505,-0.0265092690576923,-22.5333443663027,6.06436109143078e-51,3.31568942673978e-46,105.355884038341,"TNXB"
"206093_x_at",-2.54483652036923,-0.0264906751538462,-22.1705418125878,4.19927366459179e-50,1.14797643805778e-45,103.444804145009,"TNXA"
"213451_x_at",-2.71643911307253,-0.0288505264102564,-22.0548791757435,7.80920645294302e-50,1.42322787604887e-45,102.831962419594,"TNXA"
"210081_at",-4.5733471756945,-0.0144297199807692,-21.8769393377765,2.03490254581805e-49,2.78145741731505e-45,101.885757127289,"AGER"
"209614_at",-3.04639334290989,-0.0242178895641026,-21.7806987419891,3.42160988749251e-49,3.74153041197305e-45,101.372281331895,"ADH1B"
"235649_at",-3.69295566428571,-0.00937213426923077,-21.680192056974,5.89472661108181e-49,5.3715696243483e-45,100.834762072225,"ADAMTS8"
"232122_s_at",-3.76246518025055,-0.0053152145,-21.6139658537121,8.44162501195168e-49,6.04331811513933e-45,100.479861888957,"VEPH1"
"220677_s_at",-2.89139511073626,-0.00641069477564103,-21.5923810895249,9.49095813915718e-49,6.04331811513933e-45,100.364068170838,"ADAMTS8"
"217046_s_at",-3.24241024373846,-0.00844994608333334,-21.5837224396047,9.94784874920054e-49,6.04331811513933e-45,100.317600955735,"AGER"
"220003_at",-2.24479175651868,0.00228263384615384,-21.5552311816181,1.16130751456645e-48,6.34944883589207e-45,100.164632092575,"LRRC36"
"206069_s_at",-2.87607030986373,-0.0159542334615385,-21.4689887345753,1.8564631733156e-48,9.22428826502216e-45,99.7009567562515,"ACADL"
"238222_at",-4.25224584546593,-0.00846037201923078,-21.4530750878384,2.02453514732997e-48,9.22428826502216e-45,99.6152929273353,"GKN2"
"207547_s_at",-2.95136567794066,-0.0114576586602564,-21.3171954740845,4.24887304361901e-48,1.78697795122977e-44,98.8825097876484,"FAM107A"
"206209_s_at",-3.75836262475604,-0.0131638218205128,-20.929362947072,3.57075529991579e-47,1.39450747159211e-43,96.7778106693153,"CA4"
"236154_at",-2.09899447401538,-0.00105565908333333,-20.8962296079381,4.286700055661e-47,1.56250217028844e-43,96.5970987545963,"QKI"
"215918_s_at",-2.5100488763011,-0.00355565659615384,-20.7861396031913,7.87497363333e-47,2.69102614626449e-43,95.9956392675593,"SPTBN1"
"236065_at",-2.9559490979011,-0.0123284852884615,-20.5936346997226,2.2892698156918e-46,7.36269571605583e-43,94.9401554895579,NA
"228885_at",-4.22930511929011,-0.0141022433653846,-20.4430732189143,5.2915006504071e-46,1.60729332256116e-42,94.1113110676788,"MAMDC2"
"208609_s_at",-2.15011083908791,-0.0244973764935897,-20.4171849576448,6.11323486177172e-46,1.75916376877563e-42,93.9685013529154,"TNXB"
"206742_at",-3.83236031494725,-0.0127517243141025,-20.3773727796847,7.63402235675481e-46,2.08695086177785e-42,93.7487135733401,"VEGFD"
"230132_at",-2.20827094602857,-0.00354270732692307,-20.1699203058491,2.43724082739985e-45,6.34553058276604e-42,92.6001512745141,"PCAT19"
"219866_at",-3.43945258338461,-0.0359748062307692,-19.931625584521,9.30852648346427e-45,2.31338038856095e-41,91.27402202975,"CLIC5"
"203812_at",-1.95371718093407,-0.0175177440064103,-19.8945384180901,1.14745299844186e-44,2.72769533433952e-41,91.0669762238331,"SLIT3"
"1553243_at",-1.71751703328132,0.000789027903846155,-19.7723125302274,2.28919603816057e-44,5.21507472443455e-41,90.3833869654697,"ITIH5"
"236383_at",-2.47699022244615,-0.00838020549358975,-19.7315765552297,2.88290382148691e-44,6.30491065759188e-41,90.1551348562744,NA
"226397_s_at",-2.0358938300022,-0.00516040589102565,-19.5217149477642,9.48809379222598e-44,1.97275939230425e-40,88.9758994294784,"PHACTR1"
