"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"AFFX-HUMGAPDH/M33197_3_at",1.07340555997802,0.00351201262820513,18.6031189429497,1.85906685654188e-41,1.62465848405486e-38,83.7491751282049,"GAPDH"
"223229_at",2.86611339202417,0.0273108631730769,18.2308903616484,1.62429564173879e-40,1.16853110805353e-37,81.6016390511496,"UBE2T"
"213453_x_at",1.25041202424835,0.00408834246794871,18.2130680198592,1.80267081671272e-40,1.28001333641257e-37,81.4983951124997,"GAPDH"
"212581_x_at",1.12939240061758,0.00383126987820512,18.1150072401419,3.20025314879868e-40,2.10811856518756e-37,80.929653853213,"GAPDH"
"217398_x_at",1.22426927298461,0.00342993638461538,17.7526482815037,2.6946299014184e-39,1.41662394096203e-36,78.8181242238567,"GAPDH"
"203228_at",1.85092538392527,0.0156168712948718,17.1796427372028,8.07112002824796e-38,3.47471250035006e-35,75.4480861522805,"PAFAH1B3"
"AFFX-HUMGAPDH/M33197_M_at",1.36359081329011,0.00315640671153846,17.1512824426459,9.55914161096802e-38,4.02035436599751e-35,75.2803264909645,"GAPDH"
"204641_at",2.99027820231868,0.0310233685064103,17.1196647003202,1.15448763759215e-37,4.71056802875752e-35,75.0931928899039,"NEK2"
"201291_s_at",4.09782715193187,0.0321323924679487,17.0762484329456,1.49632065929681e-37,5.96602574145932e-35,74.8360481635609,"TOP2A"
"225765_at",1.66899135587472,0.00994003771153846,17.0548494570655,1.70048542182824e-37,6.59390357719569e-35,74.709230442232,"TNPO1"
"218355_at",2.8525348236945,0.0238763965705128,16.8599722647818,5.46291906497386e-37,1.8904120245408e-34,73.5520179845006,"KIF4A"
"217871_s_at",1.51609307441758,0.00587321358974359,16.8436403070901,6.0253461818691e-37,2.02107854290609e-34,73.4548491613086,"MIF"
"225655_at",2.70384452181319,0.0223224315705128,16.3533033649948,1.15688675123478e-35,3.14690463302296e-33,70.524407528773,"UHRF1"
"221521_s_at",2.45746511461099,0.0200062268717949,16.275807869683,1.84962011834741e-35,4.8854096604176e-33,70.0589935715344,"GINS2"
"214710_s_at",3.04776350924835,0.0242766613076923,16.2143146387575,2.6851978535136e-35,6.9251505962668e-33,69.689255053509,"CCNB1"
"202870_s_at",3.22478019943736,0.0252504456666667,16.1918794979338,3.07667502740824e-35,7.86061715530587e-33,69.5542661029806,"CDC20"
"223311_s_at",1.24468748881319,0.00742902496153846,16.1841794480071,3.22383139260056e-35,8.1982782042063e-33,69.5079245175661,"MTA3"
"201292_at",3.53499211093406,0.0293217825320513,16.1743143380751,3.42272429493936e-35,8.62384566017555e-33,69.4485442637616,"TOP2A"
"201577_at",1.74222845204835,0.0118140438076923,16.1606087510787,3.71963193524194e-35,9.32893926877767e-33,69.366031362929,"NME1"
"218726_at",2.32359213271209,0.0205391781282051,16.1076004289659,5.13221620970029e-35,1.24161027108568e-32,69.0467266617149,"HJURP"
"202705_at",2.93421861354945,0.0238973530320513,16.0966505203523,5.48528396617739e-35,1.31538553004714e-32,68.9807336412249,"CCNB2"
"210052_s_at",3.2183037731956,0.0262384206666667,16.0637251418008,6.70056557269764e-35,1.55895073483933e-32,68.7822280791049,"TPX2"
"206102_at",3.0781012017011,0.0267068296025641,16.0462302376427,7.45265014957583e-35,1.72658324969516e-32,68.6767091746686,"GINS1"
"202954_at",2.98638712981099,0.026032225948718,15.93059391141,1.50658267611015e-34,3.30812882796476e-32,67.9785161887902,"UBE2C"
"207828_s_at",2.90037637502637,0.0247766443653846,15.8965441145966,1.85398984017958e-34,3.95964431686791e-32,67.7726853047987,"CENPF"
"225803_at",2.10112135897143,-0.000151692871794866,15.8053670188925,3.23327615991295e-34,6.69606784250362e-32,67.2209810311236,"FBXO32"
"203764_at",3.27617494441318,0.0297202872307692,15.7748872753697,3.89457855769082e-34,7.91583950341061e-32,67.0363773490425,"DLGAP5"
"222608_s_at",3.48049781884176,0.0344149254166667,15.7341315142719,4.99554544386297e-34,9.96830099062802e-32,66.7894013188663,"ANLN"
"209408_at",2.57616343930989,0.0210119067564103,15.653742486642,8.16660909637381e-34,1.5833664976746e-31,66.3018040489142,"KIF2C"
"204825_at",2.8617921295956,0.0279400096025641,15.6288563266049,9.50985156759611e-34,1.79913887355819e-31,66.1507384872215,"MELK"
"37892_at",4.69226340194945,-0.00953171426282052,15.5668218663508,1.39035942952888e-33,2.58564291869018e-31,65.7739299789167,"COL11A1"
"221520_s_at",1.83474815839121,0.0189017017692308,15.4744101158726,2.44978696907318e-33,4.34876956279469e-31,65.2119686539862,"CDCA8"
"218009_s_at",2.69129920439121,0.0269626416794872,15.4700941027043,2.51550683003793e-33,4.45098174538265e-31,65.1857043238577,"PRC1"
"202503_s_at",2.92774907163956,0.022435953,15.4179201261881,3.46468691979735e-33,6.01370658221968e-31,64.8680802961384,"PCLAF"
"202095_s_at",2.9956883683956,0.0277350804102564,15.4035297214926,3.78469482454338e-33,6.50717577144369e-31,64.7804330025413,"BIRC5"
"203362_s_at",2.8488803335033,0.0241889785641026,15.3935028816232,4.02502323784093e-33,6.89868794761607e-31,64.719352197774,"MAD2L1"
"209714_s_at",2.78717018814066,0.0211337176153846,15.3725381462622,4.57809578884622e-33,7.77352134332816e-31,64.5916127197955,"CDKN3"
"209875_s_at",3.98681838412088,-0.0264912749038461,15.335981999798,5.73092839180179e-33,9.46642023630703e-31,64.3687837136456,"SPP1"
"1555758_a_at",2.88229232708351,0.0195769245833333,15.2863188057258,7.77706779612061e-33,1.25062112280263e-30,64.0658783711047,"CDKN3"
"223381_at",2.9796158459978,0.0325657093141026,15.2689476142471,8.65395518300928e-33,1.37946064032371e-30,63.9598790381993,"NUF2"
"1568596_a_at",1.50749506367472,0.00876111715384616,15.2643863774456,8.90019638281287e-33,1.41458789892527e-30,63.9320420906258,"TROAP"
"204092_s_at",2.23993152436264,0.0234513661602564,15.2295112687809,1.10303708165855e-32,1.72803875185333e-30,63.7191440117259,"AURKA"
"204962_s_at",2.88973767543296,0.0277962099615385,15.2037626045789,1.29247326261772e-32,2.01327565907761e-30,63.5618942308648,"CENPA"
"202148_s_at",1.47208852424396,0.00611447630128205,15.1807918320256,1.48883655893178e-32,2.28657693425829e-30,63.4215631256651,"PYCR1"
"212141_at",1.88234099687692,0.0165472563782051,15.1331667231395,1.99645339104825e-32,3.00705479767391e-30,63.1304780954846,"MCM4"
"219918_s_at",3.17647977668352,0.0162290697371795,15.1024553522357,2.41248061188116e-32,3.59407023037064e-30,62.9426722082602,"ASPM"
"222036_s_at",2.19483631181538,0.0238249566923077,15.0460344980405,3.4164079501924e-32,4.92855157458495e-30,62.5974503922827,"MCM4"
"206364_at",2.49817613810989,0.0227033078205128,15.0449251753208,3.43986817490752e-32,4.94933664376496e-30,62.5906602430867,"KIF14"
"203755_at",2.76509574681978,0.0262175967628205,15.0342320904322,3.67445268096156e-32,5.24544909481914e-30,62.525203012392,"BUB1B"
"212022_s_at",2.34635313024176,0.014786120948718,14.9997253259457,4.54648749832896e-32,6.39021089900092e-30,62.3139098307403,"MKI67"
"208079_s_at",2.46073903648571,0.0259751560320513,14.9846200092486,4.99083507088561e-32,6.97887231459516e-30,62.2213869178117,"AURKA"
"218662_s_at",2.28139923369451,0.0115804249935897,14.9229969769176,7.30236081654494e-32,9.93175566280086e-30,61.8437502927058,"NCAPG"
"204320_at",4.2166322561011,-0.0113786830384615,14.8511807981519,1.13828967955106e-31,1.4888992399391e-29,61.4032805121488,"COL11A1"
"223307_at",2.4057558458,0.0224582400705128,14.8482330266029,1.1592301065517e-31,1.50906919227891e-29,61.385192609529,"CDCA3"
